gloss1,gloss2,Speaker,word_pair,distance,distance_norm,data_type
maman1024,coucou1011,Adeline,coucou1011_maman1024,8.94427190999916,0.7398143528875347,target
oiseau1025,coucou1011,Adeline,coucou1011_oiseau1025,7.472393419528949,0.6180697498708313,target
papa1026,coucou1011,Adeline,coucou1011_papa1026,6.324555320336759,0.5231277457459134,target
papa1027,coucou1011,Adeline,coucou1011_papa1027,6.324555320336759,0.5231277457459134,target
papa1028,coucou1011,Adeline,coucou1011_papa1028,6.324555320336759,0.5231277457459134,target
parti1029,coucou1011,Adeline,coucou1011_parti1029,9.79552724087918,0.8102248813345759,target
vachou1030,coucou1011,Adeline,coucou1011_vachou1030,5.1568776039816795,0.4265447323045757,target
voilà1031,coucou1011,Adeline,coucou1011_voilà1031,10.618156958466736,0.8782676776970973,target
voilà1032,coucou1011,Adeline,coucou1011_voilà1032,10.618156958466736,0.8782676776970973,target
voiture1033,coucou1011,Adeline,coucou1011_voiture1033,8.946584083212926,0.7400056014259423,target
voiture1034,coucou1011,Adeline,coucou1011_voiture1034,8.946584083212926,0.7400056014259423,target
encore1326,coucou1011,Adeline,coucou1011_encore1326,3.3166247903554,0.2743305042308096,target
encore1327,coucou1011,Adeline,coucou1011_encore1327,3.3166247903554,0.2743305042308096,target
encore1328,coucou1011,Adeline,coucou1011_encore1328,3.3166247903554,0.2743305042308096,target
encore1329,coucou1011,Adeline,coucou1011_encore1329,3.3166247903554,0.2743305042308096,target
encore1330,coucou1011,Adeline,coucou1011_encore1330,3.3166247903554,0.2743305042308096,target
encore1331,coucou1011,Adeline,coucou1011_encore1331,3.3166247903554,0.2743305042308096,target
encore1332,coucou1011,Adeline,coucou1011_encore1332,3.3166247903554,0.2743305042308096,target
encore1333,coucou1011,Adeline,coucou1011_encore1333,3.3166247903554,0.2743305042308096,target
encore1334,coucou1011,Adeline,coucou1011_encore1334,3.3166247903554,0.2743305042308096,target
encore1335,coucou1011,Adeline,coucou1011_encore1335,3.3166247903554,0.2743305042308096,target
encore1336,coucou1011,Adeline,coucou1011_encore1336,3.3166247903554,0.2743305042308096,target
encore1337,coucou1011,Adeline,coucou1011_encore1337,3.3166247903554,0.2743305042308096,target
encore1338,coucou1011,Adeline,coucou1011_encore1338,3.3166247903554,0.2743305042308096,target
encore1339,coucou1011,Adeline,coucou1011_encore1339,3.3166247903554,0.2743305042308096,target
